2. TRIFD,34. CHEMICAL
00747KNDLLROUTE,"['Acetone', 'Di(2-ethylhexyl) phthalate', 'Dichlorodifluoromethane (CFC-12)', 'Ethylene oxide', 'Freon 113 (CFC-113)', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00747LCTTPNO9VQ,"['1,1,1-Trichloroethane', 'Acrylic acid', 'Cumene hydroperoxide', 'Cyclohexane', 'Dichloromethane', 'Methanol', 'Methyl methacrylate', 'Toluene-2,4-diisocyanate']"
00751STRTCRD701,"['Dichlorodifluoromethane (CFC-12)', 'Ethylene oxide']"
00753CRBGPELRET,"['Copper', 'Styrene']"
00753DGTLQPRROA,"['Ammonia', 'Copper', 'Copper compounds', 'Ethylene glycol', 'Formaldehyde', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Lead', 'Manganese compounds', 'Nitrate compounds (water dissociable; reportable only when in aqueous solution)', 'Nitric acid', 'Sodium dimethyldithiocarbamate', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00753WLLCNBSTRE,['Silver']
00754LNCMNURBAP,"['Acetone', 'Ammonia', 'Certain glycol ethers', 'Cyclohexane', 'Dibutyl phthalate', 'Dichloromethane', 'Ethylene glycol', 'Methanol', 'Methyl ethyl ketone', 'Methyl isobutyl ketone', 'Toluene', 'Xylene (mixed isomers)', 'Zinc compounds', 'n-Hexane']"
00755VNLMLGUATE,"['Copper compounds', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Nickel', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00757PRDCTCALLE,"['1,1,1-Trichloroethane']"
00757PRDCTREPAR,"['1,1,1-Trichloroethane', 'Freon 113 (CFC-113)']"
00757SNDSTRD537,"['1,1,1-Trichloroethane', 'Cobalt', 'Xylene (mixed isomers)']"
00758BYMNCRD866,['Copper']
00759BRCWDCARR8,"['Arsenic compounds', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)']"
00759NTRRPRD854,"['Copper', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00762WNSLLKM11R,"['Ammonia', 'Chromium compounds (except for chromite ore mined in the Transvaal Region)', 'Dichloromethane']"
00763WRNRLCARRE,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Naphthalene']"
00764CRBGPSTRD6,['Copper']
00764THMSBCABOC,['Copper']
00764VSSKNCARR6,"['Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Tetrachloroethylene']"
00765CRBGNRTE20,['Copper']
00766MDTRNROAD1,"['Dichlorodifluoromethane (CFC-12)', 'Freon 113 (CFC-113)']"
00767HMSPH130CA,['Zinc compounds']
00767JPNTBRD3KM,['Nicotine and salts']
00767YBCSNROUTE,"['1,2,4-Trimethylbenzene', 'Ammonia', 'Benzene', 'Cyclohexane', 'Ethylbenzene', 'Fluorine', 'Methyl ethyl ketone', 'Molybdenum trioxide', 'Nickel', 'Nickel compounds', 'Phosphoric acid', 'Propylene', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Tetrachloroethylene', 'Toluene', 'Xylene (mixed isomers)', 'Zinc compounds', 'n-Hexane']"
00768SRTRSROAD1,['Dichloromethane']
00769LSFLRHWY15,"['Acetone', 'Toluene']"
00771CNSMRRD183,"['Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol']"
00771TRCSLSTATE,['Copper compounds']
00771WNSLLSTATE,['Zinc compounds']
00775BXTRHBOFUL,['Di(2-ethylhexyl) phthalate']
00777LSRPRRD185,['Chlorine']
00777MNNNCSTATE,['Bis(2-ethylhexyl) adipate']
00784CLGTPRDNO3,"['Certain glycol ethers', 'Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)']"
00784CPHRMSTATE,"['Acetone', 'Methanol']"
00784WHTHLRD3KM,['Diethanolamine']
00785CHMSRRD3KM,"['Acetone', 'Chloroform', 'Cyclohexane', 'Dichloromethane', 'Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)', 'Methanol', 'Toluene']"
00791RDCNCRD3KM,['Zinc compounds']
